z,gpz:z,error,Model Uncertaties,Noise,MAG_AUTO_G_DERED,MAG_AUTO_R_DERED,MAG_AUTO_I_DERED,MAG_AUTO_Z_DERED,MAG_AUTO_Y_DERED
0.7228,0.7393641236933595,0.016564107290161223,1.1448685263006563e-05,0.023963470031410916,23.67760467529297,22.728349685668945,22.058364868164062,22.052051544189453,21.205066680908203
0.6205,0.6039919927639843,-0.016508035369408036,5.243832327471282e-06,0.005884241111181589,22.12636947631836,20.92274284362793,20.240055084228516,19.829923629760742,19.782608032226562
0.6542,0.6219260845961584,-0.0322739328560816,4.5746266914978035e-06,0.011510658840505124,22.396656036376953,21.464445114135742,20.97146987915039,20.629701614379883,20.619426727294922
0.6857,0.6732233971918453,-0.01247660214058266,1.660418947989679e-05,0.012929247391868398,22.291040420532227,21.713281631469727,21.340486526489258,21.289260864257812,23.49973487854004
0.6426,0.5561584899130296,-0.08644150999160294,6.883466016911116e-06,0.00408859256452121,22.044940948486328,21.031848907470703,20.61693000793457,20.37799644470215,20.2850341796875
0.6267,0.5631724948723279,-0.06352748920131102,4.8170625538882725e-06,0.00912975301493765,22.959421157836914,22.011850357055664,21.65581512451172,21.429161071777344,21.688013076782227
0.7337,0.7278274867243878,-0.005872490673530906,1.9563147542386385e-05,0.004071243463862174,23.90766143798828,22.002737045288086,20.770984649658203,20.403594970703125,20.206724166870117
0.6815,0.6653071872862704,-0.01619283035670449,7.306434131865291e-06,0.004498858878901912,24.16423797607422,22.298442840576172,21.376340866088867,21.06011390686035,20.847043991088867
0.7644,0.5794350231279314,-0.1849649822126448,5.076988856740194e-06,0.005771090251460181,23.150827407836914,21.682872772216797,21.013513565063477,20.65654945373535,20.43802833557129
0.448,0.6807698998433561,0.23276988601507853,9.238539774973464e-06,0.018557665314075256,23.527603149414062,22.82036781311035,22.39872932434082,22.310346603393555,23.021163940429688
0.7171,0.7356831375353504,0.01858311331202278,4.086943906096493e-06,0.01225339758123604,22.859357833862305,22.100797653198242,21.51996421813965,21.28936004638672,21.079553604125977
0.9072,0.8095862238109569,-0.09761375501747327,9.164803678303412e-06,0.008367533822152481,24.7314453125,22.533864974975586,21.6071834564209,20.970661163330078,20.632509231567383
0.7287,0.6270310315918008,-0.10166895057448944,8.86403547743066e-06,0.024869525756633332,23.031230926513672,22.530391693115234,22.271305084228516,22.227685928344727,22.282121658325195
0.984,0.8681701062764421,-0.11582992090327593,6.93049311551535e-06,0.015227226359225307,23.29144859313965,22.83909797668457,22.19194984436035,21.864110946655273,22.370187759399414
0.5915,0.5803388631293324,-0.011161121135041419,3.5478957173609186e-06,0.0032433587599134048,22.95957374572754,21.580934524536133,20.87210464477539,20.543869018554688,20.467777252197266
0.6888,0.6448838746651124,-0.043916102637438836,9.475913534807808e-06,0.003605430620443358,23.71353530883789,22.13548469543457,21.259706497192383,20.972187042236328,20.71112823486328
0.5439,0.4863237872182952,-0.05757622575167548,6.9488475073675114e-06,0.004953019242233063,22.654767990112305,21.72060203552246,21.49119758605957,21.355327606201172,21.40508270263672
0.8136,0.8686954736780288,0.05509546995869896,1.0625281600575632e-05,0.027995499513913183,23.403579711914062,22.65194320678711,21.783008575439453,21.355215072631836,20.975936889648438
0.685,0.6027509144007721,-0.08224908798341368,8.061758058815513e-06,0.0069657805283477895,22.235078811645508,21.3326473236084,20.82962989807129,20.625551223754883,20.77692413330078
0.6426,0.7739071601507819,0.1313071602461493,9.721992361590382e-06,0.03171780910225798,23.317087173461914,22.538551330566406,22.057361602783203,21.593002319335938,21.917339324951172
0.8138,0.7421955507795682,-0.07160442652298304,5.838061968488674e-06,0.006577068558082021,22.631975173950195,21.560392379760742,20.65918731689453,20.228565216064453,20.160215377807617
0.8052,0.772652419025244,-0.032547561710534856,8.474533450172826e-06,0.0188969376499017,24.3531436920166,23.1309757232666,22.1942195892334,21.7706298828125,22.68897247314453
0.9564,0.9698967436666415,0.013496766459457632,1.5656287638204606e-05,0.026908943792269182,22.59170150756836,21.883386611938477,21.08831024169922,20.48822021484375,20.36683464050293
0.691,0.6532134683841229,-0.037786516357088074,4.603779185514511e-06,0.008643268467555894,23.3377742767334,22.40620231628418,21.885095596313477,21.698808670043945,21.447193145751953
0.6161,0.5363481198452009,-0.07975189341087208,4.569530432085921e-06,0.0034682047982758217,23.02984046936035,22.058897018432617,21.727855682373047,21.714405059814453,21.324569702148438
1.39,0.8524940791957957,-0.5375059064990896,3.316122486033519e-05,0.05656405076830226,22.489559173583984,22.142719268798828,21.949512481689453,21.55921745300293,22.041994094848633
0.5526,0.5395521742025999,-0.013047851928076337,3.2008249685812826e-06,0.0018337121826910716,22.94976806640625,21.170740127563477,20.40261459350586,19.970203399658203,19.92867660522461
0.6126,0.5711233866609471,-0.041476641853914975,4.01921531601218e-06,0.004118655760404741,22.500200271606445,21.434986114501953,20.920114517211914,20.594038009643555,20.56560707092285
0.8183,0.7150238775326931,-0.10327613124111057,4.9174461042025826e-05,0.006851982076537558,23.361478805541992,22.592058181762695,21.8976993560791,21.786527633666992,30.62488555908203
0.9823,0.8723355858608126,-0.10996439764062171,5.861630289364695e-06,0.007046165424226852,22.510835647583008,21.913997650146484,21.233854293823242,20.90158462524414,20.910612106323242
0.5548,0.6058460099555557,0.05104603599086455,4.286315873693934e-06,0.00927186886369534,22.45400047302246,21.812576293945312,21.436195373535156,21.462787628173828,21.02559471130371
0.6833,0.7360164509610566,0.05271643265050974,5.178304754148729e-06,0.004197797914379454,24.911075592041016,22.87224006652832,21.737314224243164,21.305267333984375,21.159093856811523
0.813,0.6982766581217122,-0.1147233652433085,6.986093422319641e-06,0.01453410637163792,22.916101455688477,22.421049118041992,22.015743255615234,22.011764526367188,22.72056007385254
0.6366,0.8121748328323529,0.1755748152847455,6.921049386520205e-06,0.025311645511641508,23.566728591918945,22.492969512939453,21.73280143737793,21.175655364990234,21.214139938354492
0.9195,0.8538132755846475,-0.0656867177396323,1.11354889593585e-05,0.011013223079138488,23.646867752075195,22.526086807250977,21.28597068786621,20.71483039855957,20.67253875732422
0.9792,0.7798795117100324,-0.1993204938212786,8.012966610389641e-06,0.010943650838827992,24.32953643798828,23.093591690063477,21.98444175720215,21.860252380371094,21.804332733154297
0.7302,0.8006010408416145,0.07040104818490678,1.472324975764494e-05,0.036402657322904285,23.451120376586914,22.788379669189453,22.445934295654297,21.942270278930664,22.377304077148438
0.7199,0.8169207558042535,0.09702074378795711,1.5034508701269285e-05,0.06253500423864596,22.849632263183594,22.481367111206055,22.237306594848633,21.93269157409668,21.825347900390625
0.4543,0.46870127923493654,0.014401292872479265,9.389582226283195e-06,0.01668620767097659,22.553081512451172,21.736835479736328,21.612306594848633,21.35259246826172,21.4085636138916
0.6028,0.6662858707483716,0.06348585911354498,7.572128763514196e-06,0.016910683081738983,23.105724334716797,22.356975555419922,21.984121322631836,21.730295181274414,22.172544479370117
1.0312,0.8309061828059374,-0.2002938685017408,4.293054995730169e-06,0.011543188692134292,23.738479614257812,23.120532989501953,22.34560203552246,22.130237579345703,22.331594467163086
0.7103,0.8319178370187608,0.12161780869463357,8.158612215797355e-06,0.01908095676115085,23.900632858276367,22.90462875366211,21.91695213317871,21.417144775390625,22.141813278198242
0.5232,0.6702210472775489,0.14702107178697887,8.271968902755193e-06,0.011372938337216148,23.560791015625,22.181217193603516,21.45454216003418,20.923629760742188,21.727645874023438
0.7748,0.7778886988097521,0.003088696234831434,5.034116618484505e-06,0.012784409553565875,22.995697021484375,22.24100112915039,21.628864288330078,21.29976463317871,21.711965560913086
0.6235,0.5908331413298122,-0.03266684817977028,4.551921894297593e-06,0.00595362230701644,23.76837158203125,22.15047264099121,21.342510223388672,20.90066146850586,20.994701385498047
0.7719,0.679134270607971,-0.09276572758004775,4.038374123455406e-06,0.009051302148111947,22.947546005249023,22.17020034790039,21.68953514099121,21.458675384521484,21.25037384033203
0.8774,0.8350780324558238,-0.04232194856605731,2.8775295631034276e-05,0.022073297671904243,23.849952697753906,23.158689498901367,21.965587615966797,21.789278030395508,21.607685089111328
0.5297,0.5257596855560254,-0.003940295656590598,2.7354489200685555e-05,0.018986784551754756,23.420791625976562,22.552946090698242,22.602712631225586,22.25394630432129,22.01329803466797
0.6856,0.5915913888659157,-0.0940085938725792,4.932781790165106e-06,0.0062864675431151896,23.823871612548828,22.419946670532227,21.74955940246582,21.53000259399414,21.071924209594727
0.6847,0.6653602309299403,-0.019339781277090906,2.9044503093854173e-06,0.003758904042143032,23.177297592163086,22.19574737548828,21.568145751953125,21.410818099975586,21.278057098388672
0.6865,0.6177944393390185,-0.06870557353558482,0.00010305761584860997,0.08398967616242245,24.434486389160156,22.463891983032227,21.3009033203125,20.830453872680664,20.674612045288086
0.3567,0.5246068623122825,0.16790685916515724,2.212599154630426e-05,0.041669348514781254,22.13743782043457,21.49568748474121,21.393789291381836,21.075929641723633,21.260499954223633
0.5559,0.600088502928801,0.04418852524478001,4.857197178321824e-06,0.0020296802561097916,23.318008422851562,21.445781707763672,20.571271896362305,20.110841751098633,20.14373779296875
1.0388,0.9654234020549862,-0.07337659908942296,2.7863704195174057e-05,0.03669697370295266,23.369518280029297,22.334287643432617,21.343952178955078,20.564409255981445,20.515012741088867
0.6803,0.657948943770683,-0.02235105355902889,4.585154787587846e-06,0.0021778835364726448,22.556917190551758,21.476926803588867,20.804227828979492,20.575637817382812,20.548505783081055
1.024,0.975923096979461,-0.048076951657929134,1.21310282245771e-05,0.011287529996284176,23.422216415405273,23.086519241333008,22.32209587097168,21.788482666015625,21.89874839782715
0.4883,0.49569877784738975,0.0073987821866078884,8.359415507756137e-06,0.0016311439041373807,22.820749282836914,21.265300750732422,20.749040603637695,20.519258499145508,20.728443145751953
0.549,0.5138889977513612,-0.03511102704417102,3.7118644865647932e-06,0.0029835877207324037,22.271787643432617,20.976709365844727,20.457983016967773,20.132511138916016,20.1195068359375
0.7127,0.6696001600109133,-0.04309984933509503,4.108688029594104e-06,0.0024301127524445566,23.79540252685547,22.039077758789062,21.050785064697266,20.614656448364258,20.39118194580078
0.6437,0.8787785605358087,0.23507855691184631,1.3768769689075207e-05,0.031132854699007066,23.938899993896484,23.163602828979492,22.58613395690918,22.05485725402832,21.962570190429688
1.2795,0.917319782746239,-0.3621802248831555,2.3529592122981514e-05,0.06026961834266182,22.97501564025879,22.42629051208496,22.01526641845703,21.532806396484375,20.90215301513672
0.597,0.5340992021243821,-0.06290080073664084,9.504321566092863e-06,0.011014189199764886,23.626821517944336,22.71003532409668,22.499116897583008,22.43333625793457,21.84412384033203
0.6863,0.7098018671349569,0.023501887448219794,6.837708910083584e-06,0.0033831139961896625,24.632688522338867,22.892271041870117,21.80788803100586,21.435270309448242,21.386817932128906
0.8085,0.8132934461101506,0.004793454216382331,7.048944268615784e-06,0.007291237333353798,22.48666763305664,21.643224716186523,20.750377655029297,20.44481658935547,20.254873275756836
0.5278,0.5332127309538426,0.005412707398086969,6.23291859152967e-06,0.005907515365614036,23.800968170166016,22.1731014251709,21.497234344482422,21.135099411010742,21.160751342773438
1.0436,0.6929147648770397,-0.35068519831113165,5.2122416195926335e-06,0.020601163405974336,23.814537048339844,22.75267219543457,22.166404724121094,21.7727108001709,22.00377082824707
0.6888,0.6458747529570594,-0.04292522434549184,6.038131013617332e-06,0.005458557151804396,22.71076011657715,21.901384353637695,21.408061981201172,21.336240768432617,21.6361083984375
0.7817,0.7496595554566652,-0.032040459611389016,1.528756565008785e-05,0.012126254802621013,23.47568130493164,22.618268966674805,21.933387756347656,21.9515438079834,23.788679122924805
0.6603,0.7690984446084761,0.10879842820527785,2.137950258308376e-05,0.035370417686700614,21.51175308227539,21.081876754760742,20.692529678344727,20.45553207397461,20.58734893798828
1.0767,1.049838552069593,-0.026861420083116982,2.012678009970038e-05,0.018638100167727534,24.229698181152344,23.065776824951172,22.189559936523438,21.2612247467041,21.352092742919922
0.7293,0.7055941660227871,-0.023705856102457012,5.932813833910327e-06,0.01887538862194372,23.616840362548828,22.889772415161133,22.43805503845215,22.306621551513672,21.73277473449707
0.6096,0.5397010172559984,-0.0698989902780287,7.2048546338450444e-06,0.011640737567030327,23.131555557250977,22.23536491394043,21.97829818725586,21.710594177246094,22.07237434387207
0.6485,0.5748494450473294,-0.07365058022504001,4.100836672119239e-06,0.0033120277884582873,22.581846237182617,20.99447250366211,20.208711624145508,19.79322052001953,19.64065933227539
0.6069,0.5308122398936693,-0.07608773683667736,4.120337814619177e-06,0.005876954370947605,23.180187225341797,22.18238639831543,21.87063217163086,21.74766731262207,21.634859085083008
0.5316,0.5029289311336208,-0.02867106734050029,1.2842478387291747e-05,0.011599280977705729,21.83948516845703,20.93268585205078,20.66897201538086,20.38572120666504,20.241052627563477
0.7911,0.7439107668535084,-0.04718925832349352,5.9319582768156105e-06,0.011559973871800674,23.406402587890625,22.607866287231445,22.09383201599121,21.721351623535156,21.926990509033203
0.646,0.5731294484091098,-0.07287057924744533,4.4662756831014075e-06,0.006640303818911959,22.472469329833984,21.407398223876953,20.897397994995117,20.557754516601562,20.554107666015625
0.5509,0.5734412460576048,0.022541263605212247,8.201501288764335e-06,0.01555328182575033,23.69814109802246,22.231462478637695,21.726572036743164,21.33677101135254,21.08404541015625
1.1545,0.9869561465059032,-0.1675438611234913,2.2746269048263014e-05,0.023165908612877758,24.837209701538086,23.316497802734375,22.494749069213867,21.522268295288086,21.465164184570312
0.8871,0.849803359914611,-0.03729662139337242,5.497593515490065e-06,0.009302568355148411,23.298107147216797,22.595468521118164,21.7768611907959,21.455448150634766,22.09007453918457
0.7209,0.8368701682960101,0.11597016915431702,1.8955076531725697e-05,0.0274044818049438,23.12642478942871,22.774307250976562,22.367128372192383,22.093387603759766,23.249536514282227
0.907,0.9093425087856659,0.002342503540457175,2.2084735548845093e-05,0.04333764820675326,23.226247787475586,22.69076919555664,22.241819381713867,21.746797561645508,21.105234146118164
0.8289,0.8379139689133815,0.009013989322011917,7.503600997172965e-06,0.02495503611483111,23.47517204284668,22.527469635009766,21.776077270507812,21.28426170349121,21.04662322998047
0.5867,0.7117572985124231,0.12505727629181151,9.401562686183335e-06,0.036010470859475924,23.852479934692383,22.725797653198242,22.228313446044922,21.726259231567383,21.6761531829834
0.5866,0.5089626732694206,-0.0776373323572579,1.1436251164743355e-05,0.006929863287704332,21.40360450744629,20.47193145751953,20.123790740966797,19.95954704284668,19.9375
